unix,date,symbol,open,high,low,close,Volume BTG,Volume BTC,tradecount
1612483200000,2021-02-05 00:00:00,BTG/BTC,0.00030000,0.00032300,0.00029800,0.00031500,66813.79000000,20.73838079,3944
1612396800000,2021-02-04 00:00:00,BTG/BTC,0.00030800,0.00030900,0.00029400,0.00030000,40348.82000000,12.15832025,2872
1612310400000,2021-02-03 00:00:00,BTG/BTC,0.00031200,0.00031500,0.00030500,0.00030900,57482.53000000,17.77893481,2787
1612224000000,2021-02-02 00:00:00,BTG/BTC,0.00031500,0.00032500,0.00030700,0.00031400,52754.26000000,16.60805716,2892
1612137600000,2021-02-01 00:00:00,BTG/BTC,0.00031600,0.00032800,0.00030900,0.00031500,115898.44000000,36.89158073,4812
1612051200000,2021-01-31 00:00:00,BTG/BTC,0.00031700,0.00032100,0.00031200,0.00031700,43503.88000000,13.73509474,2627
1611964800000,2021-01-30 00:00:00,BTG/BTC,0.00032000,0.00032800,0.00031100,0.00031700,71100.90000000,22.64202639,4189
1611878400000,2021-01-29 00:00:00,BTG/BTC,0.00031300,0.00037800,0.00029600,0.00032000,329980.31000000,104.46692395,13931
1611792000000,2021-01-28 00:00:00,BTG/BTC,0.00031800,0.00033900,0.00031200,0.00031300,69131.43000000,22.33868833,3976
1611705600000,2021-01-27 00:00:00,BTG/BTC,0.00032600,0.00033000,0.00031300,0.00031900,37109.77000000,11.88666210,2224
1611619200000,2021-01-26 00:00:00,BTG/BTC,0.00033500,0.00033700,0.00032400,0.00032600,40185.66000000,13.21158777,2255
1611532800000,2021-01-25 00:00:00,BTG/BTC,0.00034400,0.00034700,0.00032600,0.00033400,38752.78000000,12.92779622,2496
1611446400000,2021-01-24 00:00:00,BTG/BTC,0.00033500,0.00035200,0.00033200,0.00034400,34011.35000000,11.56591635,2602
1611360000000,2021-01-23 00:00:00,BTG/BTC,0.00032300,0.00034900,0.00032200,0.00033300,45358.23000000,15.16308413,3026
1611273600000,2021-01-22 00:00:00,BTG/BTC,0.00033200,0.00033500,0.00031500,0.00032300,55360.39000000,18.07507536,4379
1611187200000,2021-01-21 00:00:00,BTG/BTC,0.00034700,0.00035200,0.00033000,0.00033200,59015.18000000,20.21012107,4329
1611100800000,2021-01-20 00:00:00,BTG/BTC,0.00034900,0.00035400,0.00033800,0.00034700,49594.74000000,17.10634233,3565
1611014400000,2021-01-19 00:00:00,BTG/BTC,0.00034600,0.00035900,0.00034000,0.00034800,44449.46000000,15.52354963,4301
1610928000000,2021-01-18 00:00:00,BTG/BTC,0.00034500,0.00035200,0.00033900,0.00034600,48010.72000000,16.53813655,3060
1610841600000,2021-01-17 00:00:00,BTG/BTC,0.00035500,0.00035600,0.00034100,0.00034600,42764.76000000,14.84815749,3411
1610755200000,2021-01-16 00:00:00,BTG/BTC,0.00034800,0.00035900,0.00034400,0.00035500,39007.35000000,13.64690111,3359
1610668800000,2021-01-15 00:00:00,BTG/BTC,0.00034900,0.00035800,0.00033900,0.00034900,58217.73000000,20.29209907,4340
1610582400000,2021-01-14 00:00:00,BTG/BTC,0.00036300,0.00036400,0.00034400,0.00035100,67048.15000000,23.53155524,5600
1610496000000,2021-01-13 00:00:00,BTG/BTC,0.00037500,0.00040200,0.00035500,0.00036400,76129.87000000,28.90043023,6693
1610409600000,2021-01-12 00:00:00,BTG/BTC,0.00034600,0.00038400,0.00033400,0.00037400,145276.93000000,52.44719492,12534
1610323200000,2021-01-11 00:00:00,BTG/BTC,0.00034900,0.00035300,0.00030600,0.00034600,206211.29000000,67.76536709,13390
1610236800000,2021-01-10 00:00:00,BTG/BTC,0.00033600,0.00045000,0.00031400,0.00035300,714835.77000000,273.20970889,38740
1610150400000,2021-01-09 00:00:00,BTG/BTC,0.00027300,0.00035000,0.00025700,0.00033600,182596.37000000,55.08425898,13751
1610064000000,2021-01-08 00:00:00,BTG/BTC,0.00025600,0.00030600,0.00025600,0.00027400,147089.65000000,41.28967533,11598
1609977600000,2021-01-07 00:00:00,BTG/BTC,0.00025700,0.00029800,0.00025300,0.00025700,119721.31000000,32.59210548,8671
1609891200000,2021-01-06 00:00:00,BTG/BTC,0.00026700,0.00027600,0.00025300,0.00025600,50950.03000000,13.46186362,3874
1609804800000,2021-01-05 00:00:00,BTG/BTC,0.00027400,0.00028800,0.00025800,0.00026500,47771.22000000,13.07587853,4042
1609718400000,2021-01-04 00:00:00,BTG/BTC,0.00026400,0.00028900,0.00026000,0.00027400,47237.82000000,12.90637104,3433
1609632000000,2021-01-03 00:00:00,BTG/BTC,0.00026100,0.00026800,0.00023900,0.00026400,65624.73000000,16.65268923,3363
1609545600000,2021-01-02 00:00:00,BTG/BTC,0.00028800,0.00028900,0.00025300,0.00026100,114123.21000000,31.50048417,3509
1609459200000,2021-01-01 00:00:00,BTG/BTC,0.00028800,0.00029800,0.00028500,0.00028600,28995.18000000,8.41948437,1424
1609372800000,2020-12-31 00:00:00,BTG/BTC,0.00029200,0.00029800,0.00028400,0.00028700,19889.07000000,5.72709589,1188
1609286400000,2020-12-30 00:00:00,BTG/BTC,0.00030700,0.00030800,0.00029000,0.00029500,28697.31000000,8.60518080,1554
1609200000000,2020-12-29 00:00:00,BTG/BTC,0.00031900,0.00032100,0.00030300,0.00030600,34858.80000000,10.80702826,2406
1609113600000,2020-12-28 00:00:00,BTG/BTC,0.00033000,0.00033800,0.00031300,0.00031900,52021.20000000,16.87561627,2743
1609027200000,2020-12-27 00:00:00,BTG/BTC,0.00032800,0.00034900,0.00030700,0.00032900,62561.21000000,20.46149646,3460
1608940800000,2020-12-26 00:00:00,BTG/BTC,0.00034400,0.00035300,0.00031800,0.00032800,30985.10000000,10.45749126,2220
1608854400000,2020-12-25 00:00:00,BTG/BTC,0.00035700,0.00036800,0.00033700,0.00034400,41670.69000000,14.69131112,1747
