unix,date,symbol,open,high,low,close,Volume EOS,Volume BTC,tradecount
1607904000000,2020-12-14 00:00:00,EOS/BTC,0.00014870,0.00014900,0.00014640,0.00014760,1304596.49000000,192.76794135,10994
1607817600000,2020-12-13 00:00:00,EOS/BTC,0.00014710,0.00015030,0.00014610,0.00014860,1903546.25000000,281.34096448,10474
1607731200000,2020-12-12 00:00:00,EOS/BTC,0.00014930,0.00015090,0.00014700,0.00014720,1828733.23000000,272.58725454,11021
1607644800000,2020-12-11 00:00:00,EOS/BTC,0.00015020,0.00015200,0.00014910,0.00014950,1657556.09000000,249.21580495,11321
1607558400000,2020-12-10 00:00:00,EOS/BTC,0.00015150,0.00015250,0.00014960,0.00015020,1371872.14000000,207.46942968,9806
1607472000000,2020-12-09 00:00:00,EOS/BTC,0.00015290,0.00015360,0.00015060,0.00015150,1695892.47000000,257.74092994,12117
1607385600000,2020-12-08 00:00:00,EOS/BTC,0.00015390,0.00015410,0.00014960,0.00015290,1935977.94000000,294.48880012,10991
1607299200000,2020-12-07 00:00:00,EOS/BTC,0.00015480,0.00015630,0.00015300,0.00015390,1234626.51000000,190.72044184,8907
1607212800000,2020-12-06 00:00:00,EOS/BTC,0.00015700,0.00015760,0.00015360,0.00015480,963162.44000000,149.24861554,7738
1607126400000,2020-12-05 00:00:00,EOS/BTC,0.00015260,0.00015730,0.00015230,0.00015720,1600804.67000000,246.73874819,9982
1607040000000,2020-12-04 00:00:00,EOS/BTC,0.00015840,0.00016250,0.00014960,0.00015260,2689122.38000000,423.24115760,20405
