unix,date,symbol,open,high,low,close,Volume XLM,Volume BTC,tradecount
1609286400000,2020-12-30 00:00:00,XLM/BTC,0.00000505,0.00000506,0.00000451,0.00000455,84375294.00000000,399.49915619,29641
1609200000000,2020-12-29 00:00:00,XLM/BTC,0.00000533,0.00000555,0.00000484,0.00000505,95161005.00000000,493.71039562,35199
1609113600000,2020-12-28 00:00:00,XLM/BTC,0.00000553,0.00000578,0.00000523,0.00000533,71242288.00000000,393.97111819,24819
1609027200000,2020-12-27 00:00:00,XLM/BTC,0.00000554,0.00000573,0.00000484,0.00000553,113704447.00000000,606.45354109,37664
1608940800000,2020-12-26 00:00:00,XLM/BTC,0.00000616,0.00000624,0.00000546,0.00000554,61055621.00000000,357.45203744,25683
1608854400000,2020-12-25 00:00:00,XLM/BTC,0.00000668,0.00000686,0.00000604,0.00000617,104155054.00000000,676.27462723,37878
1608768000000,2020-12-24 00:00:00,XLM/BTC,0.00000545,0.00000704,0.00000531,0.00000667,200217477.00000000,1259.30905110,69884
1608681600000,2020-12-23 00:00:00,XLM/BTC,0.00000680,0.00000680,0.00000487,0.00000546,237079749.00000000,1399.22695307,71249
1608595200000,2020-12-22 00:00:00,XLM/BTC,0.00000728,0.00000729,0.00000667,0.00000681,60921413.00000000,426.08684788,23834
1608508800000,2020-12-21 00:00:00,XLM/BTC,0.00000752,0.00000755,0.00000715,0.00000728,34678174.00000000,253.59549909,17730
1608422400000,2020-12-20 00:00:00,XLM/BTC,0.00000762,0.00000771,0.00000744,0.00000753,26508200.00000000,200.72303158,15832
1608336000000,2020-12-19 00:00:00,XLM/BTC,0.00000802,0.00000804,0.00000755,0.00000762,35077197.00000000,275.09634990,18030
1608249600000,2020-12-18 00:00:00,XLM/BTC,0.00000817,0.00000820,0.00000786,0.00000802,56123614.00000000,450.92437836,23364
1608163200000,2020-12-17 00:00:00,XLM/BTC,0.00000906,0.00000940,0.00000781,0.00000817,209150788.00000000,1776.51214153,74709
1608076800000,2020-12-16 00:00:00,XLM/BTC,0.00000855,0.00000913,0.00000824,0.00000905,128190113.00000000,1104.81439679,44552
1607990400000,2020-12-15 00:00:00,XLM/BTC,0.00000883,0.00000905,0.00000850,0.00000856,42202500.00000000,369.76419287,16921
1607904000000,2020-12-14 00:00:00,XLM/BTC,0.00000918,0.00000926,0.00000868,0.00000883,42657186.00000000,382.07655589,20079
1607817600000,2020-12-13 00:00:00,XLM/BTC,0.00000844,0.00000937,0.00000829,0.00000920,78318323.00000000,697.31394305,32444
1607731200000,2020-12-12 00:00:00,XLM/BTC,0.00000835,0.00000899,0.00000830,0.00000845,59619869.00000000,513.22162921,24150
1607644800000,2020-12-11 00:00:00,XLM/BTC,0.00000881,0.00000918,0.00000830,0.00000836,81031889.00000000,712.73586302,32178
1607558400000,2020-12-10 00:00:00,XLM/BTC,0.00000928,0.00000963,0.00000879,0.00000880,106389113.00000000,987.17330089,40985
1607472000000,2020-12-09 00:00:00,XLM/BTC,0.00000833,0.00000948,0.00000789,0.00000929,160420580.00000000,1387.82925518,54448
1607385600000,2020-12-08 00:00:00,XLM/BTC,0.00000878,0.00000878,0.00000818,0.00000833,62183207.00000000,525.95188037,23389
1607299200000,2020-12-07 00:00:00,XLM/BTC,0.00000908,0.00000909,0.00000866,0.00000878,29042471.00000000,257.55654620,13302
1607212800000,2020-12-06 00:00:00,XLM/BTC,0.00000897,0.00000937,0.00000884,0.00000908,39556440.00000000,359.20054081,18730
1607126400000,2020-12-05 00:00:00,XLM/BTC,0.00000866,0.00000922,0.00000860,0.00000897,43147070.00000000,385.07263064,21701
1607040000000,2020-12-04 00:00:00,XLM/BTC,0.00000948,0.00000973,0.00000857,0.00000867,85549383.00000000,789.40533479,32693
